#E/GeV N_CC N_NC
11.295 0.026 0.013
14.219 0.043 0.020
17.901 0.073 0.033
22.536 0.117 0.050
28.371 0.178 0.073
35.717 0.260 0.103
44.965 0.340 0.131
56.607 0.495 0.186
71.264 0.659 0.243
89.716 0.922 0.335
112.946 1.234 0.444
142.191 1.601 0.570
179.008 1.930 0.683
225.357 2.451 0.861
283.708 2.723 0.952
357.167 3.051 1.063
449.647 3.284 1.140
566.072 3.516 1.217
712.643 3.339 1.153
897.164 2.941 1.013
1129.463 2.739 0.941
1421.909 2.053 0.703
1790.078 1.698 0.581
2253.574 1.035 0.353
2837.082 0.823 0.280
3571.675 0.199 0.068
4496.472 0.055 0.019
5660.723 0.000 0.000
7126.428 0.000 0.000
8971.641 0.000 0.000
