#E/GeV N_CC N_NC
11.295 0.211 0.077
14.219 0.382 0.134
17.901 0.819 0.277
22.536 1.382 0.456
28.371 2.975 0.963
35.717 5.266 1.679
44.965 8.698 2.744
56.607 14.390 4.500
71.264 22.470 6.983
89.716 31.194 9.650
112.946 43.946 13.551
142.191 58.818 18.099
179.008 71.205 21.881
225.357 85.900 26.374
283.708 94.579 29.031
357.167 105.432 32.365
449.647 110.354 33.891
566.072 110.443 33.942
712.643 96.134 29.571
897.164 85.718 26.396
1129.463 68.738 21.195
1421.909 47.715 14.735
1790.078 28.187 8.717
2253.574 16.181 5.015
2837.082 5.571 1.731
3571.675 1.201 0.374
4496.472 0.124 0.039
5660.723 0.005 0.001
7126.428 0.000 0.000
8971.641 0.000 0.000
