#E/GeV N_CC N_NC
11.295 0.071 0.037
14.219 0.168 0.080
17.901 0.309 0.139
22.536 0.640 0.273
28.371 1.168 0.477
35.717 2.235 0.882
44.965 3.835 1.473
56.607 6.596 2.477
71.264 10.447 3.854
89.716 15.013 5.461
112.946 21.699 7.802
142.191 27.496 9.798
179.008 34.338 12.145
225.357 41.492 14.587
283.708 48.285 16.891
357.167 51.760 18.033
449.647 52.463 18.216
566.072 51.615 17.867
712.643 46.465 16.041
897.164 37.304 12.847
1129.463 26.654 9.152
1421.909 22.829 7.820
1790.078 12.879 4.403
2253.574 6.920 2.362
2837.082 1.881 0.641
3571.675 0.482 0.164
4496.472 0.040 0.014
5660.723 0.000 0.000
7126.428 0.000 0.000
8971.641 0.000 0.000
