#E/GeV N_CC N_NC
11.295 0.001 0.000
14.219 0.001 0.000
17.901 0.003 0.001
22.536 0.005 0.002
28.371 0.010 0.003
35.717 0.020 0.006
44.965 0.041 0.013
56.607 0.064 0.020
71.264 0.113 0.035
89.716 0.176 0.054
112.946 0.349 0.108
142.191 0.495 0.152
179.008 0.743 0.228
225.357 0.996 0.306
283.708 1.325 0.407
357.167 1.736 0.533
449.647 1.978 0.608
566.072 1.923 0.591
712.643 1.987 0.611
897.164 2.116 0.652
1129.463 2.061 0.635
1421.909 1.827 0.564
1790.078 1.291 0.399
2253.574 0.820 0.254
2837.082 0.554 0.172
3571.675 0.204 0.064
4496.472 0.050 0.016
5660.723 0.000 0.000
7126.428 0.000 0.000
8971.641 0.000 0.000
